ID,Group,Age.Yr,Train.Hr,Wave,Grade,1BCSTCAT,1BCSTCR,1BCSTPR,1BCSTPE,1BCSTNPE,1BCSTCLR,1CONNTARG,1ConnSingle,1ConnSwitch,1SWITCHavg2featRT,1SWITCHavg3featRT,1SWITCHerr2feat,1SWITCHerr3feat,1SwitchMed2featRT,1SwitchMed3featRT,1FLANKACC,1FLANKCC(RT),1Flank-1Acc,1Flank1Acc,1GOTE,1Go1Pcorr,1Go1Rcorr,1Go2Pcorr,1Go2Rcorr,1Go1RTP,1Go1RTR,1Go2RTP,1Go2RTR,1NSIE,1NSRTC,1NSRTI,1NSACCC,1NSACCI,1OSPANdistract%,1OSPANpartialscore,1OSPANavgDisTime,1RSPANdistract%,1RSPANpartialscore,1RSPANavgDisTime,1SYMSPANdistract%,1SYMSPANpartialscore,1SYMSPANavgDisTime,2BCSTCAT,2BCSTCR,2BCSTPR,2BCSTPE,2BCSTNPE,2BCSTCLR,2CONNTARG,2ConnSingle,2ConnSwitch,2SWITCHavg2featRT,2SWITCHavg3featRT,2SWITCHerr2feat,2SWITCHerr3feat,2SwitchMed2featRT,2SwitchMed3featRT,2FLANKACC,2FLANKCC(RT),2Flank-1Acc,2Flank1Acc,2GOTE,2GO1Pcorr,2GO1Rcorr,2GO2Pcorr,2GO2Rcorr,2GO1RTP,2GO1RTR,2GO2RTP,2GO2RTR,2NSIE,2NSRTC,2NSRTI,2NSACCC,2NSACCI,2OSPNdistract%,2OSPNpartialscore,2OSPNavgDisTime,2RSPANdistract%,2RSPANpartialscore,2RSPANavgDisTime,2SYMSPANdistract%,2SYMSPANpartialscore,2SYMSPANavgDisTime,3BCSTCAT,3BCSTCR,3BCSTPR,3BCSTPE,3BCSTNPE,3BCSTCLR,3CONNTARG,3ConnSingle,3ConnSwitch,3SWITCHavg2featRT,3SWITCHavg3featRT,3SWITCHerr2feat,3SWITCHerr3feat,3Switchmed2featRT,3Switchmed3featRT,3FLANKACC,3FLANKCC,3Flank-1Acc,3Flank1Acc,3GOTE,3GO1Pcorr,3GO1Rcorr,3GO2Pcorr,3GO2Rcorr,3GO1RTP,3GO1RTR,3GO2RTP,3GO2RTR,3NSIE,3NSRTC,3NSRTI,3NSACCC,3NSACCI,3OSPNdistract%,3OSPNpartialscore,3OSPNavgDisTime,3RSPANdistract%,3RSPANpartialscore,3RSPANavgDisTime,3SYMSPANdistract%,3SYMSPANpartialscore,3SYMSPANavgDisTime,1RTaverage,2RTaverage,3RTaverage,1NAI,2NAI,3NAI,1PATmScale,2PATmScale,3PATmScale,1PATrScale,2PATrScale,3PATrScale,ITIM,1IEMmaths,1IEMenglish,1IEMconc.,1IEMTotalScore,2IEMmaths,2IEMenglish,2IEMconc.,2IEMTotalScore,1CEFI_P_AT_SS,1CEFI_P_FX_SS,1CEFI_P_WM_SS,2CEFI_P_AT_SS,2CEFI_P_FX_SS,2CEFI_P_WM_SS,3CEFI_P_AT_SS,3CEFI_P_FX_SS,3CEFI_P_WM_SS,1CEFI_T_AT_SS,1CEFI_T_FX_SS,1CEFI_T_WM_SS,2CEFI_T_AT_SS,2CEFI_T_FX_SS,2CEFI_T_WM_SS,3CEFI_T_AT_SS,3CEFI_T_FX_SS,3CEFI_T_WM_SS
101,C8,10.94,10.7,A,5,4,65.63,32.81,14.06,20.31,50,0.629032,31,19.5,38147,38315,0,0,2320.333333,2361.333333,0.916667,48.85,0.8,1,14,1,0.5625,0.89062,1,416.781,487.286,666.571,485.25,13,634.661,697.696,0.946429,0.732143,0.8,0.48,2218.36,0.96,0.88,1790.718,0.928571429,0.857142857,1340.2925,7,68.75,39.06,18.75,12.5,60.9,0.637931,29,18.5,32685.66667,40424.66667,1,4,2034.333333,2483.666667,0.95,43.6,0.85,1,14,0.98437,0.5625,0.90625,1,460.524,405,630,482.75,3,657.643,706.804,0.982143,0.946429,0.8,0.92,2080.4,0.96,0.8,1735.818,0.928571429,0.785714286,1534.72,7,71.88,39.06,17.19,10.94,65.6,0.663866,29.75,19.75,30365.66667,36993,3,9,1759.666667,2173.333333,0.966667,30.95,0.9,1,8,0.98437,0.6875,0.96875,1,453.54,414.8,481,476.375,6,583.125,599.357,0.946429,0.892857,0.84,0.84,1422.53,0.96,0.72,1172.4,0.857142857,0.642857143,998.86675,334.25,308.1886792,337.9333333,110,117,121,144.6,144.6,153.9,137.9,151.2,148.3,31,4,0,2,6,4,2,4,10,107,106,118,110,98,100,106,118,101,81,100,97,89,80,100,73,80,78
102,C8,10.94,10.3,A,5,6,62.5,51.56,25,12.5,56.3,0.607143,28,17,35304.66667,30629.66667,1,8,2215,1842.666667,0.916667,6.85,0.9,0.95,10,0.96875,0.5625,0.98437,1,461.435,353,765,576.875,15,598.661,667.661,0.982143,0.767857,0.84,0.52,1936.794,0.88,0.44,830.0572,0.928571429,0.785714286,890.745,4,57.81,42.19,20.31,21.88,37.5,0.772358,30.75,23.75,34733.33333,40003,20,12,1893,2258.666667,0.866667,48.5,0.8,0.95,18,0.95312,0.5,0.9375,0.8125,495.803,394.625,388.25,636.923,9,559.589,752.821,0.928571,0.803571,0.92,0.48,1475.694,1,0.6,990.398,0.785714286,0.285714286,1091.095,4,65.63,42.19,20.31,21.88,37.5,0.603053,32.75,19.75,38424.33333,34696.33333,12,5,2021.666667,2077.333333,0.966667,61.2,0.95,0.95,9,0.98437,0.5625,0.98437,1,403.492,332.857,681,550.812,8,579.821,668.071,0.982143,0.839286,0.8,0.56,2048.788,0.88,0.6,936.436,1,0.571428571,734.72925,383.8983051,417.4754098,426.0806452,120,112,132,138.6,134.8,143.5,151.2,151.2,140.9,26,4,4,5,13,4,5,5,14,87,77,97,95,112,90,89,91,92,,,,,,,,,
103,C8,9.31,10.7,A,3,2,40.63,51.56,35.94,23.44,25,0.597561,20.5,12.25,62421.33333,55451.66667,12,13,3213.666667,3431.666667,,,,,16,1,0.3125,0.95312,0.875,515.875,452.727,667.667,584.571,8,916.232,901.161,0.928571,0.821429,0.76,0.44,4494.642,0.92,0.24,2601.46,0.642857143,0.428571429,1112.5825,1,43.75,62.5,32.81,12.5,29.7,0.649485,24.25,15.75,45266.66667,56040,3,13,2456,2703.666667,0.866667,-29.7,0.9,0.8,,,,,,,,,,10,789.714,823.268,0.928571,0.767857,0.76,0.36,2712.696,0.84,0.36,1905.366,0.714285714,0.071428571,1092.1625,1,40.63,57.81,40.63,18.75,23.4,0.769231,22.75,17.5,43513.66667,45109.66667,12,5,2586.666667,2660.666667,,,,,12,0.98437,0.5,0.95312,1,433.095,456.75,464.667,600.188,7,614.571,672.375,0.964286,0.910714,0.88,0.44,3500.526,0.88,0.56,1953.828,0.714285714,0.571428571,1174.5125,534.0895522,506.4126984,410.59375,108,104,106,122.8,125.6,136.2,107.8,116.6,122.8,30,5,4,6,15,6,6,6,18,86,80,95,111,103,112,105,130,127,,,,,,,,,
104,C8,8.54,10.7,A,3,4,68.75,46.88,23.44,7.81,53.1,0.740385,26,19.25,51267,51065.33333,0,3,3218.333333,2978.666667,0.866667,82.4,0.85,1,23,1,0.125,0.89062,0.875,499.453,510.571,490,582.286,7,755.036,825.946,1,0.892857,0.72,0.68,2796.282,0.8,0.92,1709.638,0.785714286,0.5,1044.63,6,71.88,40.63,17.19,10.94,57.8,0.694915,29.5,20.5,43027.66667,49342,2,2,2330,3027.333333,0.8,26.25,0.75,0.85,11,1,0.5,0.95312,1,515.406,430.5,501.333,669,10,648.018,719.714,0.946429,0.803571,0.92,0.64,2028.318,0.92,0.96,1845.646,0.857142857,0.642857143,1131.54575,4,62.5,46.88,21.88,15.63,35.9,0.826446,30.25,25,31573.33333,39851,1,2,1927.666667,2416.333333,0.85,-11.15,0.8,0.9,13,0.98437,0.4375,0.95312,1,432.127,394.889,500,520.312,9,588.982,622.339,0.982143,0.839286,0.92,0.88,1745.338,0.84,0.76,1587.006,0.857142857,0.714285714,1118.5375,475.5217391,503.2647059,404.5846154,122,113,131,135.2,131.6,144.9,130.6,134.2,121.3,19,3,0,5,8,4,5,2,11,116,100,121,102,92,100,120,98,97,,,,,,,,,
105,C8,10.75,10,A,5,2,48.44,43.75,26.56,25,39.1,0.651376,27.25,17.75,38792,37183.66667,0,0,2374,2353.666667,0.9,19.35,0.75,1,17,1,0.25,0.95312,0.875,462.594,418.333,504,539.857,9,707.946,764.643,0.964286,0.839286,0.88,0.24,3765.532,0.88,0.52,1337.652,0.642857143,0.571428571,1223.645,7,68.75,45.31,23.44,7.81,54.7,0.745455,27.5,20.5,40419,38088.66667,1,7,2085,2303.333333,0.9,13.2,0.8,0.95,42,0.875,0.75,0.95312,1,458.276,380,423,582.375,19,616.036,692.893,0.910714,0.625,0.92,0.92,3358.75,0.96,0.68,1479.8466,1,0.714285714,712.65825,6,73.44,42.19,23.44,3.13,59.4,0.709924,32.75,23.25,31880.66667,35354.33333,1,3,1963.333333,1819.333333,0.916667,24.45,0.8,1,14,1,0.5625,0.89062,1,444.188,386.429,345.429,509,12,663.018,697.125,0.892857,0.803571,0.96,0.72,2912.274,0.88,0.68,1123.816,0.857142857,0.785714286,868.89575,331.8787879,303.0655738,366.5932203,111,112,113,136,133.6,141.9,137.9,146.5,138.9,23,4,3,2,9,2,4,3,9,101,86,90,96,100,95,93,91,92,99,94,103,89,73,95,,,
106,C8,10.57,8.3,A,5,2,39.06,53.13,37.5,23.44,20.3,0.693694,27.75,19.25,40997.33333,45816.33333,0,0,2539,2789.666667,0.883333,50.65,0.9,0.85,11,1,0.3125,0.921875,0.9375,460.3125,365,532.8,577.5333,,,,,,0.96,0.84,4447.87,0.84,0.52,2475.44,0.857142857,0.642857143,1453.1075,7,68.75,45.31,18.75,12.5,64.1,0.746032,31.5,23.5,41333.33333,44869.33333,3,6,2590,2845.333333,0.916667,66.65,0.9,0.85,5,0.96875,0.8125,1,1,503.581,363.667,,640.375,4,732.911,767.482,0.982143,0.982143,0.76,0.68,1499.874,1,0.72,1812.062,0.857142857,0.785714286,946.02925,5,65.63,34.38,20.31,14.06,57.8,0.714286,33.25,23.75,45637.66667,41477.33333,3,6,2603,2380.333333,0.916667,62.9,0.9,0.9,13,0.96875,0.4375,0.96875,1,429.919,409.333,488,512.438,8,563.375,605.857,1,0.892857,0.88,0.72,2098.316,0.84,0.88,1746.602,0.785714286,1,1072.795,318.8245614,416.1147541,324.3461538,121,118,117,153.2,161,169.1,135.8,135.8,138.9,30,3,5,5,13,2,3,4,9,81,100,82,95,103,94,107,100,106,98,103,97,99,105,108,86,87,89
107,C8,11.4,7.3,A,5,5,62.5,46.88,23.44,14.06,45.3,0.738095,21,15.5,39071.33333,43251,4,5,2252,2703.666667,0.93333,62.15,0.85,1,14,1,0.5625,0.89062,1,486.359,408.571,614.429,565.25,11,713.714,829.714,0.982143,0.839286,0.84,0.44,2998.236,0.88,0.6,2243.164,0.857142857,0.642857143,1584.6,3,57.81,51.56,29.69,12.5,48.4,0.673267,25.25,17,41714.66667,39718,4,5,2408.333333,2403.333333,0.816667,5,0.7,0.9,22,0.98437,0.375,0.84375,0.9375,391.952,388.3,404.3,550.867,10,801.946,851.732,0.892857,0.767857,0.72,0.76,1946.092,0.8,0.56,1480.166,0.642857143,0.714285714,1375.41675,4,54.69,46.88,25,20.31,40.6,0.637931,25.75,19.5,52605,46202.66667,17,8,2954,2530,0.916667,24.65,0.85,0.95,21,0.98437,0.4375,0.84375,0.9375,495.746,457,564.8,526.6,10,730.964,899.054,1,0.821429,0.88,0.96,4183.754,0.92,0.44,2268.586,0.857142857,0.928571429,1390.975,317.875,346.0727273,391.9090909,109,100,106,127.8,142.9,128.4,133.8,133.8,135.4,31,0,0,1,1,2,1,0,3,70,80,71,84,83,90,,,,90,98,97,90,100,95,81,84,78
108,C8,11.14,9.3,A,5,3,59.38,50,28.13,12.5,42.2,0.601695,29.5,17.75,40406.33333,42531.66667,0,0,2266.333333,2477.333333,0.966667,45.85,0.95,0.95,21,1,0.25,0.875,0.9375,437.234,382.583,427.625,548.933,13,612.804,520.375,0.946429,0.767857,0.88,0.8,1999.958,0.92,0.8,1071.484,0.857142857,0.357142857,1815.65,4,56.25,53.13,32.81,10.94,48.4,0.649573,29.25,19,31810.66667,38418.66667,2,5,1660.666667,2239,0.966667,18.7,1,0.95,39,0.85937,0.375,0.75,1,424.527,381.214,448,546.688,11,648.786,625.911,0.946429,0.785714,0.96,0.64,2303.156,0.88,0.8,1223.42,1,0.857142857,920.4875,6,65.63,46.88,26.56,7.81,57.8,0.592857,35,20.75,28845.66667,35345,0,0,1753.333333,1911.666667,0.9,6.65,0.75,0.95,15,0.98437,0.375,0.9375,1,379.524,326.6,638,566.438,5,600.304,659.589,1,0.910714,0.76,0.64,1500.376,0.88,0.84,864.1776,0.857142857,0.714285714,973.62075,371.5873016,349.2857143,348.8208955,114,135,123,146.3,153.2,145.1,133.8,133.8,132.1,32,4,4,5,13,4,3,5,12,95,86,94,101,89,95,100,91,99,128,122,119,124,126,122,121,99,128
109,C8,8.63,10.7,A,3,2,35.94,46.88,32.81,31.25,20.3,0.561644,18.25,10.25,81999.66667,80843.33333,21,11,4437.333333,3850.666667,0.866667,52.8,0.75,0.85,40,0.98437,0.1875,0.64062,0.8125,494.889,450.154,488.957,603.769,8,820.804,916.661,0.928571,0.803571,0.64,0.52,4688.922,0.76,0.24,2480.038,0.928571429,0.571428571,2079.055,4,56.25,43.75,26.56,17.19,42.2,0.66667,20.25,13.5,76000,83989.66667,11,4,3810.666667,4049.666667,0.8,1.4,0.75,0.75,30,0.96875,0.375,0.78125,0.875,438.823,401.667,347.929,505.214,5,900.607,920.661,0.910714,0.839286,0.48,0.64,852.5654,0.8,0.76,2262.91,0.571428571,0.428571429,1700.28,5,60.94,45.31,23.44,15.63,48.4,0.67033,22.75,15.25,49810.66667,65294,15,33,2522.333333,3659.333333,0.833333,61.3,0.65,0.9,40,0.98437,0.3125,0.625,0.75,439.444,414.273,396.833,527.333,9,844.964,907.768,0.964286,0.785714,0.44,0.04,1049.208,0.92,0.04,2668.642,0.642857143,0.571428571,1557.67,362.9393939,414.2,370.2238806,109,111,105,118.8,121.5,127.3,109.5,127.6,125.9,30,6,5,6,17,2,4,5,11,108,103,124,107,92,104,111,103,100,94,81,94,100,98,103,95,84,108
110,C8,11.26,10.3,A,5,7,65.63,42.19,25,9.38,59.4,0.835443,19.75,16.5,48427,51998,3,3,2819.666667,3285.333333,0.933333,50.8,0.95,0.9,9,1,0.625,0.9532,1,461.25,434.5,463.667,542.875,3,828.768,911.143,0.982143,0.875,0.92,0.4,4261.774,0.84,0.2,1726.804,0.785714286,0.5,1351.595,5,65.63,39.06,17.19,17.19,57.8,0.762887,24.25,18.5,41675.33333,54997.33333,2,4,2228.666667,2877.666667,0.95,-19.25,0.85,1,8,1,0.625,0.96875,1,488.359,414.167,469.5,549.875,8,708.929,793.875,0.982143,0.839286,0.88,0.2,2812.514,0.84,0.2,1504.232,0.928571429,0.785714286,929.26675,7,76.56,45.31,20.31,3.13,70.3,0.789474,28.5,22.5,38163,41669.33333,0,4,2353.333333,2221,0.95,15.4,0.9,0.95,11,1,0.375,0.98437,1,426.25,371.2,438,534.188,8,701.893,750.446,1,0.892857,0.84,0.28,3251.05,0.92,0.72,1212.708,0.928571429,0.428571429,893.95825,356.0144928,378.8428571,333.3188406,121,130,135,141.4,150.6,161.7,130.4,146.5,137.1,28,4,2,5,11,0,4,3,7,111,100,100,107,100,92,102,91,92,,,,,,,,,
