ID,Group,Wave,Yr,Age(Yr),Training (hr),PPPP.points,PPPP.HL,PPPP.G,PPPP.plat,Duck.points,Duck.HL,Duck.G,Duck.plat,TT.points,TT.HL,TT.G,TT.plat,ML.points,ML.HL,ML.G,ML.plat,MT.points,MT.longSeq,MT.avgLeng,GA.points,GA.longSeq,GA.avgLeng,TC.Score,TC.Stars,TC.Avg.Acc,TC.Avg.WPM,TC.Attempts
101,C8,A,5,10.936,10.667,10959,81,81,0,8610,41,41,0,4258,21,19,2,640,8,8,0,563,7,4,310,6,4,,,,,
102,C8,A,5,10.936,10.333,10959,81,80,1,4960,31,31,0,5161,22,22,1,1191,11,10,1,120,8,5,49,7,4,,,,,
103,C8,A,3,9.311,10.667,5448,57,55,2,3894,28,26,2,3540,19,16,3,419,8,5,3,368,6,3,363,6,3,,,,,
104,C8,A,3,8.542,10.667,7828,69,62,7,6860,37,36,1,4748,21,20,1,1000,10,10,0,552,8,5,248,6,4,,,,,
105,C8,A,5,10.747,10,10938,81,81,0,6490,36,35,1,4371,21,19,2,810,9,9,0,339,7,4,430,6,3,,,,,
106,C8,A,5,10.569,8.333,4871,54,52,2,4960,31,31,0,4320,20,20,0,640,8,8,0,448,8,5,502,8,5,,,,,
107,C8,A,5,11.4,7.333,5841,59,59,0,3000,24,24,0,1677,13,11,2,640,8,8,0,249,6,4,178,5,3,,,,,
108,C8,A,5,11.144,9.333,7970,69,69,0,6300,35,35,0,4840,20,22,0,1210,11,11,0,436,7,4,264,7,3,,,,,
109,C8,A,3,8.633,10.667,5841,59,58,1,3923,28,26,2,3730,18,18,1,4840,20,22,0,371,8,4,288,8,4,,,,,
110,C8,A,5,11.256,10.333,9405,75,75,0,3510,26,26,0,15361,36,35,3,5401,23,22,1,569,7,5,292,8,5,,,,,
111,C8,A,3,8.783,10.333,2324,39,25,14,2794,25,20,5,3824,20,15,5,413,7,6,1,260,6,3,396,6,3,,,,,
112,C8,A,3,8.675,10,6145,61,58,3,5610,33,33,0,4887,21,21,1,735,9,8,1,328,8,5,438,6,4,,,,,
113,C8,A,5,10.881,10.667,10167,78,77,1,7030,37,37,0,5042,21,20,3,490,7,7,0,567,7,4,154,6,3,,,,,
114,C8,A,3,8.844,10.333,7949,69,68,1,1870,19,18,1,4840,21,2,1,4320,20,20,0,490,7,5,298,7,4,,,,,
115,C8,A,3,8.486,10.667,5120,56,45,11,4530,30,29,1,4290,20,18,2,640,8,8,0,128,5,3,271,5,3,,,,,
116,TC,A,3,9.103,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,TC,A,5,10.339,10,,,,,,,,,,,,,,,,,,,,,,,170905,312,0.96,21,313
118,TC,A,5,10.881,10.333,,,,,,,,,,,,,,,,,,,,,,,225021,389,0.98,24,305
119,TC,A,5,10.683,10.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,TC,A,5,11.244,10.333,,,,,,,,,,,,,,,,,,,,,,,393051,489,0.97,45,177
121,TC,A,5,11.078,10.333,,,,,,,,,,,,,,,,,,,,,,,132875,255,0.97,17,514
122,TC,A,3,8.969,10.333,,,,,,,,,,,,,,,,,,,,,,,161786,307,0.97,21,854
124,TC,A,5,10.786,10.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,TC,A,3,8.153,10.667,,,,,,,,,,,,,,,,,,,,,,,84030,161,0.97,15,809
126,TC,A,5,11.161,10.333,,,,,,,,,,,,,,,,,,,,,,,213138,357,0.95,23,690
127,TC,A,3,9.075,10,,,,,,,,,,,,,,,,,,,,,,,172009,291,0.97,21,647
128,TC,A,5,10.886,9.667,,,,,,,,,,,,,,,,,,,,,,,215102,385,0.96,25,934
129,TC,A,3,9.644,10.667,,,,,,,,,,,,,,,,,,,,,,,138941,266,0.96,18,488
130,TC,A,3,9.147,10.333,,,,,,,,,,,,,,,,,,,,,,,102280,210,0.98,16,841
201,C8,B,5,11.253,9.333,7294,66,65,1,5610,33,33,0,5426,23,21,3,5290,21,23,0,339,7,4,173,6,4,,,,,
202,C8,B,5,11.144,10.333,7959,69,68,1,5950,34,34,0,18770,40,41,0,5176,23,21,2,279,8,6,406,8,5,,,,,
203,C8,B,5,10.644,10.667,8435,71,70,1,6423,36,34,2,4410,21,20,1,520,8,7,1,307,6,3,285,5,3,,,,,
204,C8,B,5,10.55,10.333,10167,78,78,0,5164,32,31,1,4168,20,19,1,610,8,7,1,367,7,4,383,7,4,,,,,
205,C8,B,5,11.472,10.333,8201,70,70,0,6996,37,36,1,8245,26,26,2,962,10,9,1,445,7,4,445,8,4,,,,,
206,C8,B,3,9.222,9.667,5841,59,58,1,5882,34,33,1,12600,32,34,0,1210,11,11,0,368,7,4,263,6,4,,,,,
207,C8,B,3,9.381,10.667,5412,57,53,4,2977,25,20,5,3296,18,17,1,596,8,7,1,200,6,3,305,6,3,,,,,
